バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
105,定次団地,sadatsugidanchi,"","","",35.932568,136.193481,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
106,五郎丸口,goroumaruguchi,"","","",35.935532,136.19133,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
107,宮前１丁目,miyamae１choume,"","","",35.935626,136.189034,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
108,ＪＲ鯖江駅東口,JRsabaeekihigashiguchi,"","","",35.942774,136.189592,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
109,コスモスのまち新横江　新横江公民館前,shin-yokoekouminkan,"","","",35.941984,136.199784,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
110,斎藤病院前（出口）,saitoubyouimmae,"","","",35.944153,136.206268,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
111,新町,shimmachi,"","","",35.940716,136.207352,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
112,下新庄公民館,shimoshinjoukouminkan,"","","",35.935406,136.209915,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
113,下新庄,shimoshinjou,"","","",35.931675,136.21228,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
114,鯖江東小学校（いきいき未来館）（南）,sabaehigashishougakkou,"","","",35.93882,136.198135,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
115,五郎丸（南）,goroumaru,"","","",35.939358,136.194275,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
116,ポケットパーク前,pokettop?kumae,"","","",35.945302,136.185161,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
117,間部公ゆかりのまち鯖江　鯖江公民館,sabaekouminkan,"","","",35.945354,136.183305,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
118,五郎丸（北）,goroumaru,"","","",35.939465,136.194275,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
119,鯖江東小学校（いきいき未来館）（北）,sabaehigashishougakkou,"","","",35.938938,136.198074,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
120,宮前（サンドーム前）（南）,miyamae,"","","",35.932354,136.188293,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
121,幸道眼科前（幸町１丁目）（西）,koudougankamae,"","","",35.974606,136.18074,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
122,Ａコープさばえ店前（丸山町１丁目）（西）,Akopusabaetemmae,"","","",35.9786,136.182693,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
123,神明町５丁目（西）,shimmeichou５choume,"","","",35.980953,136.183929,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
124,丸山町公民館,maruyamachoukouminkan,"","","",35.982372,136.181915,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
125,東米岡（西）,higashiyoneoka,"","","",35.986824,136.183243,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
126,つつじヶ丘,tsutsujigaoka,"","","",35.988171,136.183533,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
127,鳥羽３丁目,toba３choume,"","","",35.987968,136.186356,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
128,鳥羽２丁目（東）,toba２choume,"","","",35.988163,136.18779,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
129,鳥羽郵便局前（東）,tobayuubinkyokumae,"","","",35.986183,136.186768,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
130,鳥羽１丁目,toba１choume,"","","",35.985493,136.189636,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
131,東鳥羽,higashitoba,"","","",35.985512,136.200348,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
132,神中町３丁目（西）,kaminakachou３choume,"","","",35.973778,136.188578,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
133,神中児童センター,kaminakajidousenta,"","","",35.975132,136.187081,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
134,御幸グラウンド,miyukiguraundo,"","","",35.976833,136.190063,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
135,御幸県住（北）,miyukikenjuu,"","","",35.979123,136.193199,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
136,御幸北,miyukikita,"","","",35.978786,136.198654,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
137,鯖江村田製作所前（御幸東）,sabaemurataseisakusho,"","","",35.975391,136.197784,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
138,水落町３丁目東,mizuochichou３choumehigashi,"","","",35.967639,136.185805,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
139,水落町３丁目,mizuochichou３choume,"","","",35.966076,136.183476,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
140,水落町４丁目,mizuochichou４choume,"","","",35.969471,136.182945,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
141,公立丹南病院（１番のりば）,kouritsutannambyouin,"","","",35.969646,136.178543,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
142,神中町２丁目（北）,kaminakachou２choume,"","","",35.971099,136.188299,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
143,越のゆ前（神中町２丁目東）（北）,koshinoyumae,"","","",35.969841,136.19281,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
